,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,a,b,c,space_group
W3B4,W,3,B,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
W5B2,W,5,B,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
WC,W,1,C,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.330037361611428,3.330037361611428,3.330037361611428,216
WC2,W,1,C,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
W2C,W,2,C,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.070045283981655,3.070045283981655,4.678428,164
W3C4,W,3,C,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
W5C2,W,5,C,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
WN,W,1,N,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.86745,3.459591,4.16358,31
WN2,W,1,N,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,9.743912,9.743912,3.041,86
W2N,W,2,N,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.8352056354361674,2.8352056354361674,17.656657,164
W3N4,W,3,N,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.227333,4.227333,4.227333,221
W5N2,W,5,N,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
ZrB,Zr,1,B,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.473762471741843,3.473762471741843,3.473762471741843,225
ZrB2,Zr,1,B,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.180490747828234,3.180490747828234,3.545484,191
Zr2B,Zr,2,B,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Zr3B4,Zr,3,B,4,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Zr5B2,Zr,5,B,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
ZrC,Zr,1,C,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.340612850630854,3.340612850630854,3.340612850630854,225
ZrC2,Zr,1,C,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Zr2C,Zr,2,C,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Zr3C4,Zr,3,C,4,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Zr5C2,Zr,5,C,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
ZrN,Zr,1,N,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.2076393710966014,3.2076393710966014,5.520387,194
ZrN2,Zr,1,N,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.792659,4.171062,4.370083,59
Zr2N,Zr,2,N,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.437125,5.437125,3.321494,136
Zr3N4,Zr,3,N,4,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,6.513337338204586,6.513337338204586,6.513337338204586,227
Zr5N2,Zr,5,N,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
IrB,Ir,1,B,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.050359782897912,3.050359782897912,2.719451,187
IrB2,Ir,1,B,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Ir2B,Ir,2,B,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Ir3B4,Ir,3,B,4,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Ir5B2,Ir,5,B,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
IrC,Ir,1,C,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.277323965287533,3.277323965287533,3.277323965287533,216
IrC2,Ir,1,C,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.6529104199184794,3.6529104199184794,7.836791438333996,12
Ir2C,Ir,2,C,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Ir3C4,Ir,3,C,4,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Ir5C2,Ir,5,C,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
IrN,Ir,1,N,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.810113903411924,2.810113903411924,3.173385,187
IrN2,Ir,1,N,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.0932454663944795,3.0932454663944795,3.767014,187
Ir2N,Ir,2,N,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Ir3N4,Ir,3,N,4,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Ir5N2,Ir,5,N,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
VB,V,1,B,1,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.297549562907913,4.297549562907913,2.969258,63
VB2,V,1,B,2,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.9982202718154314,2.9982202718154314,3.029774,191
V2B,V,2,B,1,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
V3B4,V,3,B,4,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,6.9480464179195724,6.9480464179195724,6.9480464179195724,71
V5B2,V,5,B,2,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
VC,V,1,C,1,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.942940239532227,2.942940239532227,2.942940239532227,225
VC2,V,1,C,2,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
V2C,V,2,C,1,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.893003170997225,2.893003170997225,4.532096,164
V3C4,V,3,C,4,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
V5C2,V,5,C,2,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
VN,V,1,N,1,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.9167659749198256,2.9167659749198256,2.9167659749198256,225
VN2,V,1,N,2,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
V2N,V,2,N,1,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.905897743331489,4.905897743331489,4.543337,162
V3N4,V,3,N,4,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,7.840905320442149,7.840905320442149,2.849386,176
V5N2,V,5,N,2,23,5,4,50.9415,6.11,2.40118993341677,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
RhB,Rh,1,B,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.376972398485365,3.376972398485365,4.194574,194
RhB2,Rh,1,B,2,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Rh2B,Rh,2,B,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.845644,5.399878,6.78834,62
Rh3B4,Rh,3,B,4,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Rh5B2,Rh,5,B,2,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
RhC,Rh,1,C,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.253716498290839,3.253716498290839,3.253717205397697,216
RhC2,Rh,1,C,2,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Rh2C,Rh,2,C,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Rh3C4,Rh,3,C,4,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Rh5C2,Rh,5,C,2,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
RhN,Rh,1,N,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.9319220572317404,2.9319220572317404,2.856155,187
RhN2,Rh,1,N,2,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.913133,4.935154,4.9605951825027,14
