,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity
Co2B2,Co,2,B,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Cr2B2,Cr,2,B,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Fe2B2,Fe,2,B,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Hf2B2,Hf,2,B,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Ir2B2,Ir,2,B,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Mn2B2,Mn,2,B,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Mo2B2,Mo,2,B,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Nb2B2,Nb,2,B,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Ni2B2,Ni,2,B,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Os2B2,Os,2,B,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Pd2B2,Pd,2,B,2,46,10,5,106.42,12.02,2.449754722,1.39,8.336839,0.5621412,46,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Pt2B2,Pt,2,B,2,78,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,78,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Re2B2,Re,2,B,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Rh2B2,Rh,2,B,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Ru2B2,Ru,2,B,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Sc2B2,Sc,2,B,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Ta2B2,Ta,2,B,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Tc2B2,Tc,2,B,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Ti2B2,Ti,2,B,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
V2B2,V,2,B,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
W2B2,W,2,B,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Y2B2,Y,2,B,2,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Zr2B2,Zr,2,B,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325
Cr4C3 ,Cr,4,C,3,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Hf4C3 ,Hf,4,C,3,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Mo4C3 ,Mo,4,C,3,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Nb4C3 ,Nb,4,C,3,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Sc4C3 ,Sc,4,C,3,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Ta4C3 ,Ta,4,C,3,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Ti4C3 ,Ti,4,C,3,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
V4C3,V,4,C,3,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
W4C3,W,4,C,3,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Y4C3,Y,4,C,3,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Zr4C3,Zr,4,C,3,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Cr3C2 ,Cr,3,C,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Hf3C2 ,Hf,3,C,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Mo3C2 ,Mo,3,C,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Nb3C2 ,Nb,3,C,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Sc3C2 ,Sc,3,C,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Ta3C2 ,Ta,3,C,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Ti3C2 ,Ti,3,C,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
V3C2,V,3,C,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
W3C2,W,3,C,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Y3C2,Y,3,C,2,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Zr3C2,Zr,3,C,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Cr2C ,Cr,2,C,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Hf2C ,Hf,2,C,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Mo2C ,Mo,2,C,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Nb2C ,Nb,2,C,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Sc2C ,Sc,2,C,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Ta2C ,Ta,2,C,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Ti2C ,Ti,2,C,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
V2C,V,2,C,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
W2C,W,2,C,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Y2C,Y,2,C,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Zr2C,Zr,2,C,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612
Cr4N3 ,Cr,4,N,3,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Hf4N3 ,Hf,4,N,3,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Mo4N3 ,Mo,4,N,3,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Nb4N3 ,Nb,4,N,3,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Sc4N3 ,Sc,4,N,3,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Ta4N3 ,Ta,4,N,3,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Ti4N3 ,Ti,4,N,3,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
V4N3,V,4,N,3,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
W4N3,W,4,N,3,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Y4N3,Y,4,N,3,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Zr4N3,Zr,4,N,3,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Cr3N2 ,Cr,3,N,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Hf3N2 ,Hf,3,N,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Mo3N2 ,Mo,3,N,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Nb3N2 ,Nb,3,N,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Sc3N2 ,Sc,3,N,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Ta3N2 ,Ta,3,N,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Ti3N2 ,Ti,3,N,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
V3N2,V,3,N,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
W3N2,W,3,N,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Y3N2,Y,3,N,2,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Zr3N2,Zr,3,N,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Cr2N ,Cr,2,N,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Hf2N ,Hf,2,N,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Mo2N ,Mo,2,N,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Nb2N ,Nb,2,N,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Sc2N ,Sc,2,N,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Ta2N ,Ta,2,N,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Ti2N ,Ti,2,N,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
V2N,V,2,N,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
W2N,W,2,N,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Y2N,Y,2,N,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
Zr2N,Zr,2,N,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07
NbFe1,Nb,1,Fe,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634
NbRu1,Nb,1,Ru,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825
TaNi2,Ta,1,Ni,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612
CrY1,Cr,1,Y,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712
TaV1,Ta,1,V,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662
CrZr1,Cr,1,Zr,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289
FeSc1,Fe,1,Sc,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882
PdV2,Pd,1,V,2,46,10,5,106.42,12.02,2.449754722,1.39,8.336839,0.5621412,46,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662
HfPt1,Hf,1,Pt,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105
FeMn1,Fe,1,Mn,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52
NbMo1,Nb,1,Mo,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733
HfRe2,Hf,1,Re,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663
VTi2,V,1,Ti,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545
MnY1,Mn,1,Y,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712
CoMn1,Co,1,Mn,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52
VY1,V,1,Y,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712
TiPt1,Ti,1,Pt,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105
MnSc1,Mn,1,Sc,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882
HfPt2,Hf,1,Pt,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105
NiPt1,Ni,1,Pt,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105
TaHf2,Ta,1,Hf,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807
VHf2,V,1,Hf,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807
TiMo1,Ti,1,Mo,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733
HfOs2,Hf,1,Os,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013
YRu1,Y,1,Ru,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825
FeW1,Fe,1,W,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268
YIr2,Y,1,Ir,2,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615
MnRh1,Mn,1,Rh,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892
ScRu1,Sc,1,Ru,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825
NiCr2,Ni,1,Cr,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412
NbV2,Nb,1,V,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662
HfNb1,Hf,1,Nb,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407
CrIr2,Cr,1,Ir,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615
MnRu2,Mn,1,Ru,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825
MnPt1,Mn,1,Pt,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105
CoRh1,Co,1,Rh,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892
TaOs1,Ta,1,Os,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013
YFe1,Y,1,Fe,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634
CoTi1,Co,1,Ti,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545
CrFe1,Cr,1,Fe,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634
YV1,Y,1,V,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662
HfY2,Hf,1,Y,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712
VMo1,V,1,Mo,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733
MoCr1,Mo,1,Cr,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412
WCo2,W,1,Co,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265
